1.jpg,28.6654,77.4391,Medium,0.67,2026-03-21 09:24:33.244324
2.jpg,28.6654,77.4391,Medium,0.58,2026-03-21 09:25:35.464421
3.jpg,28.6654,77.4391,Medium,0.53,2026-03-21 09:26:05.568406
4.jpg,28.6654,77.4391,Medium,0.61,2026-03-21 09:26:07.976646
5.jpg,28.6654,77.4391,Medium,0.72,2026-03-21 09:26:15.450802
6.jpg,28.6654,77.4391,Medium,0.59,2026-03-21 09:26:18.532046
7.jpg,28.6654,77.4391,Medium,0.54,2026-03-21 09:26:18.534086
1.jpg,28.6654,77.4391,Medium,0.51,2026-03-21 09:28:57.071474
2.jpg,28.6654,77.4391,Medium,0.5,2026-03-21 09:29:03.874285
3.jpg,28.6654,77.4391,Medium,0.7,2026-03-21 09:29:06.896599
4.jpg,28.6654,77.4391,Medium,0.58,2026-03-21 09:29:10.111324
